iter	Passed	Remaining
938	4812	312
939	4817	307
940	4822	302
941	4825	297
942	4829	291
943	4836	286
944	4839	281
945	4844	276
946	4852	271
947	4857	266
948	4861	261
949	4870	256
950	4875	251
951	4880	246
952	4885	240
953	4890	235
954	4896	230
955	4901	225
956	4907	220
957	4916	215
958	4921	210
959	4926	205
960	4932	200
961	4936	195
962	4941	189
963	4948	184
964	4952	179
965	4957	174
966	4962	169
967	4967	164
968	4971	159
969	4975	153
970	4982	148
971	4985	143
972	4988	138
973	4991	133
974	4997	128
975	5001	122
976	5004	117
977	5007	112
978	5012	107
979	5015	102
980	5019	97
981	5022	92
982	5025	86
983	5030	81
984	5033	76
985	5036	71
986	5040	66
987	5046	61
988	5049	56
989	5053	51
990	5056	45
991	5063	40
992	5066	35
993	5069	30
994	5073	25
995	5079	20
996	5083	15
997	5086	10
998	5091	5
999	5095	0
